"filename", "language", "Dart", "Properties", "Groovy", "XML", "Kotlin", "YAML", "ASCII Property list", "Swift", "C++", "JSON", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/errors_provider.dart", "Dart", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 98
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/loading_provider.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/messages_provider.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/name_generator.dart", "Dart", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 185
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/room_messages_provider.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/suggestions_provider.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/user_provider.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/services.dart/algolia.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/services.dart/authentication.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/services.dart/firestore.dart", "Dart", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 193
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/services.dart/local_storage.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 40
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/app_navigator.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/extrentions.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/theme_widget.dart", "Dart", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 193
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/chat_screen.dart", "Dart", 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 255
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/chats_screen.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 79
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/home_screen.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/login.dart", "Dart", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 142
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/name_generator_screen.dart", "Dart", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 110
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/settings_screen.dart", "Dart", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 134
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/splash_screen.dart", "Dart", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 119
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/tags_screen.dart", "Dart", 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 425
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/animated_widgets.dart", "Dart", 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 270
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/chat_header.dart", "Dart", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 101
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/cta_button.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_expansion_tile.dart", "Dart", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 33, 306
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_tab_bar.dart", "Dart", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 138
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_text_field.dart", "Dart", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 91
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/error_notification.dart", "Dart", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 78
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/keyboard_hider.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/loading_widget.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/password_field.dart", "Dart", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 112
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/rewind_button.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/search_field.dart", "Dart", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 95
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/suggestion_header.dart", "Dart", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 108
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/tags_row.dart", "Dart", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 139
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/titled_app_bar.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 70
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 17, 19, 69
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 31
"Total", "-", 3825, 8, 84, 113, 4, 33, 121, 12, 1, 145, 13, 183, 584, 5126
