"filename", "language", "Dart", "YAML", "JSON", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/country_widget.dart", "Dart", 0, 0, 0, 0, 541, 32, 573
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/cta_button.dart", "Dart", 40, 0, 0, 0, 0, 5, 45
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_expansion_tile.dart", "Dart", 186, 0, 0, 0, 87, 33, 306
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_image.dart", "Dart", 0, 0, 0, 0, 98, 14, 112
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_route.dart", "Dart", 17, 0, 0, 0, 13, 5, 35
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_tab_bar.dart", "Dart", 121, 0, 0, 0, 2, 15, 138
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_text_field.dart", "Dart", 100, 0, 0, 0, 0, 13, 113
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/error_notification.dart", "Dart", 72, 0, 0, 0, 0, 5, 77
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/error_widget.dart", "Dart", 67, 0, 0, 0, 13, 7, 87
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/gender.dart", "Dart", 0, 0, 0, 0, 134, 10, 144
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/keyboard_hider.dart", "Dart", 17, 0, 0, 0, 1, 4, 22
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/loading_widget.dart", "Dart", 34, 0, 0, 0, 0, 3, 37
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/message_reply.dart", "Dart", 102, 0, 0, 0, 26, 15, 143
